,number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_beta,params_buffer_size,params_exploration_final_eps,params_exploration_fraction,params_gamma,params_learning_rate,params_learning_starts,params_lr_schedule,params_net_arch,params_subsample_steps,params_target_update_interval,params_train_freq,state
0,0,0.0,2022-08-26 18:14:43.263143,2022-08-26 19:23:04.294919,0 days 01:08:21.031776,0.41999161708507415,16,0.7576831400240844,10000,0.009513491543590203,0.33360199955564507,0.9,0.24155694334303549,0,linear,large,8,1,16,COMPLETE
1,1,0.0,2022-08-26 19:23:04.331206,2022-08-27 21:16:37.461752,1 days 01:53:33.130546,0.1587719926653013,128,0.8757925764220894,50000,0.15231833677459822,0.11456254107695357,0.999,0.14855828256008224,10000,constant,small,1,20000,128,COMPLETE
2,2,0.6117340237661346,2022-08-27 21:16:37.489958,2022-08-27 23:42:55.497849,0 days 02:26:18.007891,0.12439770263018601,512,0.3483311862071221,10000,0.11747402665286709,0.20711714404128884,0.995,0.001910264725598762,20000,linear,large,8,10000,16,COMPLETE
3,3,0.5090721014392814,2022-08-27 23:42:55.523845,2022-08-28 01:26:24.395189,0 days 01:43:28.871344,0.9920544764719275,32,0.2988508440136972,10000,0.0801179295209623,0.2482376526036898,0.9,1.3641339392591896e-05,0,constant,large,4,10000,8,COMPLETE
4,4,0.0,2022-08-28 01:26:24.418925,2022-08-28 11:36:20.353926,0 days 10:09:55.935001,0.8377044175018539,32,0.9930479052116987,1000000,0.07450647129205279,0.144109486924682,0.99,0.0013891504819269385,20000,constant,large,2,10000,128,COMPLETE
5,5,0.0,2022-08-28 11:36:20.386341,2022-08-29 00:46:33.065146,0 days 13:10:12.678805,0.6347842203835086,100,0.1911881634805599,10000,0.14813917190680817,0.035098692437631696,0.999,0.2972473221181702,5000,linear,medium,2,5000,4,COMPLETE
6,6,0.6898249203793366,2022-08-29 00:46:33.088105,2022-08-29 03:15:38.115138,0 days 02:29:05.027033,0.059485913789502964,512,0.8048122003233532,1000000,0.12083443693921764,0.45915153620703997,0.99,8.03964790983936e-05,0,constant,large,8,10000,256,COMPLETE
7,7,0.0,2022-08-29 03:15:38.159566,2022-08-29 04:54:37.482890,0 days 01:38:59.323324,0.9023696939100825,16,0.687738391258977,100000,0.14663095033860474,0.24359473879911642,0.9999,0.013452627562515628,20000,linear,large,8,10000,16,COMPLETE
8,8,0.0,2022-08-29 04:54:37.511575,2022-08-29 05:28:03.052411,0 days 00:33:25.540836,0.7685787828071883,64,0.23040884476853518,100000,0.02241558861239508,0.13598336061558264,0.98,0.12159180446351386,20000,constant,large,8,1,4,COMPLETE
9,9,,2022-08-29 05:28:03.083229,,,0.8777620020658478,256,0.5310937976368044,10000,0.008506958135148767,0.13125285552577914,0.98,0.420139955457329,10000,linear,small,4,1,256,RUNNING
