,number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_beta,params_buffer_size,params_exploration_final_eps,params_exploration_fraction,params_gamma,params_learning_rate,params_learning_starts,params_lr_schedule,params_net_arch,params_subsample_steps,params_target_update_interval,params_train_freq,state
20,20,0.4904942965779468,2022-08-21 10:37:01.634372,2022-08-21 11:36:21.413226,0 days 00:59:19.778854,0.25671227497328275,512,0.2573352588121174,50000,0.17725013727656289,0.2582872876112865,0.99,0.006741400452542868,10000,linear,small,2,20000,1,PRUNED
21,21,0.5457875457875458,2022-08-21 11:36:21.427477,2022-08-21 12:43:08.243817,0 days 01:06:46.816340,0.309995734309172,512,0.8721242346520337,50000,0.05010015580822576,0.2234461373265661,0.999,2.4571216807101195e-05,5000,linear,medium,1,10000,1,PRUNED
22,22,0.4701348747591522,2022-08-21 12:43:08.255234,2022-08-21 13:49:31.475634,0 days 01:06:23.220400,0.45008889850090894,512,0.9078000225771268,50000,0.0864460254093223,0.163712976560011,0.98,2.2781214507527634e-05,10000,linear,medium,1,10000,1,PRUNED
23,23,0.33542976939203356,2022-08-21 13:49:31.484119,2022-08-21 14:59:08.208960,0 days 01:09:36.724841,0.5804661745822386,512,0.7429950829563781,50000,0.071816064378081,0.09893426530915378,0.9999,1.0185180024786184e-05,5000,linear,medium,1,5000,1,PRUNED
24,24,0.0959232613908873,2022-08-21 14:59:08.221807,2022-08-21 15:46:15.077864,0 days 00:47:06.856057,0.27743473532917223,512,0.5816819808618527,50000,0.03677208534543111,0.30745555294498006,0.9999,0.000601306240022608,0,linear,medium,1,20000,1,PRUNED
25,25,0.0,2022-08-21 15:46:21.041815,2022-08-21 15:54:35.833183,0 days 00:08:14.791368,0.3813572272732593,512,0.8728007867494281,1000000,0.10515930281655292,0.37123027597563724,0.999,3.664400810493799e-05,1000,linear,medium,1,1,1,PRUNED
26,26,0.003346881348194092,2022-08-21 15:54:35.844245,2022-08-21 17:06:09.324528,0 days 01:11:33.480283,0.13878357813923953,64,0.9954740064855441,10000,0.14426152442377438,0.4402432510271238,0.98,0.00011242528598512086,0,linear,medium,8,1000,1,PRUNED
27,27,0.0,2022-08-21 17:06:09.337133,2022-08-21 17:43:34.899684,0 days 00:37:25.562551,0.5188592900078486,32,0.6834838171839221,100000,0.060512979382952664,0.25705773679587973,0.995,2.484972359004523e-05,10000,constant,large,4,5000,16,PRUNED
28,28,0.0,2022-08-21 17:43:34.908408,2022-08-21 19:56:36.694300,0 days 02:13:01.785892,0.0020652270851698185,128,0.45508921412889625,50000,0.1740022151038408,0.49704940924061736,0.99,0.05241331690689499,5000,linear,medium,1,10000,128,PRUNED
29,29,0.1420673677443363,2022-08-21 19:56:36.709324,2022-08-21 20:29:09.490677,0 days 00:32:32.781353,0.6646187430186576,100,0.8492256398268401,1000000,0.12209709568682871,0.0937456203259236,0.9999,0.0003533155749638944,5000,constant,small,2,20000,8,PRUNED
