,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_exploration_final_eps,params_exploration_fraction,params_gamma,params_learning_rate,params_learning_starts,params_lr_schedule,params_net_arch,params_subsample_steps,params_target_update_interval,params_train_freq,state
26,26,-155.67220182732564,2022-08-12 00:03:24.653978,2022-08-12 00:17:23.404261,0 days 00:13:58.750283,256,1000000,0.04066262189084849,0.19482994948115462,0.98,0.00021052891833055044,5000,linear,small,1,1,1,PRUNED
27,27,65.3529605871452,2022-08-12 00:17:23.416615,2022-08-12 00:49:24.411096,0 days 00:32:00.994481,128,50000,0.061469721405702234,0.06828863351849615,0.9,5.4775775799883214e-05,20000,constant,small,2,20000,8,PRUNED
28,28,-1070.456758299697,2022-08-12 00:49:24.423802,2022-08-12 01:03:27.828565,0 days 00:14:03.404763,128,100000,0.015101708598680846,0.17525105490578732,0.995,0.010907376041077438,20000,linear,small,8,15000,16,PRUNED
29,29,-256.55777892023326,2022-08-12 01:03:27.842013,2022-08-12 01:33:26.041464,0 days 00:29:58.199451,256,50000,0.1258267993023608,0.2246438926888043,0.99,1.288716094145091e-05,5000,constant,small,4,5000,4,PRUNED
30,30,-1405.4970927660702,2022-08-12 01:33:26.055913,2022-08-12 01:59:53.025962,0 days 00:26:26.970049,128,1000000,0.09659462626118706,0.048181687353966496,0.98,0.0006787147550863339,20000,constant,large,1,10000,1,PRUNED
31,31,-1997.0,2022-08-12 01:59:53.043460,2022-08-12 03:06:26.236987,0 days 01:06:33.193527,16,10000,0.0712715060747463,0.12968664418935766,0.95,0.05073694561235817,0,linear,small,1,5000,256,PRUNED
32,32,-778.582356019628,2022-08-12 03:06:26.255114,2022-08-12 03:23:50.752040,0 days 00:17:24.496926,64,50000,0.11221380309478798,0.042789361650673485,0.98,0.0021210378187787892,20000,constant,small,1,5000,1,PRUNED
33,33,-1173.1357895891765,2022-08-12 03:23:50.770635,2022-08-12 03:39:51.155624,0 days 00:16:00.384989,100,50000,0.16338442810509493,0.005571774323560319,0.98,0.000541925413365876,1000,constant,small,1,5000,1,PRUNED
34,34,-1414.935593735901,2022-08-12 03:39:51.167731,2022-08-12 04:04:03.300366,0 days 00:24:12.132635,100,50000,0.053329169484263104,0.09709329702616601,0.98,4.2284205917032303e-05,20000,constant,small,1,1,256,PRUNED
35,35,0.8012148924077337,2022-08-12 04:04:03.315415,2022-08-12 04:17:58.939730,0 days 00:13:55.624315,100,10000,0.027578249094145413,0.11813779245975023,0.9,7.848436620684702e-05,10000,constant,medium,1,5000,1,PRUNED
36,36,-1998.0,2022-08-12 04:17:58.957721,2022-08-12 04:34:18.461944,0 days 00:16:19.504223,512,10000,0.09044993400078662,0.08887220784246865,0.9999,0.005569143184538151,20000,constant,large,2,1,1000,PRUNED
37,37,-1036.4305238003312,2022-08-12 04:34:18.474108,2022-08-12 04:50:42.522656,0 days 00:16:24.048548,256,50000,0.07151162248689313,0.040440918406449256,0.999,0.00023157080580108017,0,constant,medium,1,5000,8,PRUNED
38,38,-1568.449496238411,2022-08-12 04:50:42.538108,2022-08-12 05:22:36.602818,0 days 00:31:54.064710,64,10000,0.12249376616534016,0.17416729994618835,0.98,0.0014791375366046977,1000,constant,small,1,20000,128,PRUNED
39,39,-1723.56161339283,2022-08-12 05:22:36.617392,2022-08-12 06:03:59.417194,0 days 00:41:22.799802,100,50000,0.103284657098268,0.14382063883810328,0.9999,3.690884324495172e-05,20000,constant,medium,4,1000,1000,PRUNED
40,40,-1716.5292070770404,2022-08-12 06:03:59.436492,2022-08-12 06:20:56.980543,0 days 00:16:57.544051,32,10000,0.015670353549448325,0.2792795244345729,0.9,0.0006300506042395933,10000,linear,small,2,1,256,PRUNED
41,41,-1892.649402710423,2022-08-12 06:20:56.994729,2022-08-12 07:06:46.233801,0 days 00:45:49.239072,128,50000,0.06235397654770824,0.40566552568200387,0.99,2.719247566814936e-05,0,constant,small,1,5000,1,PRUNED
42,42,100.00000149011612,2022-08-12 07:06:46.253505,2022-08-12 07:36:03.692917,0 days 00:29:17.439412,32,50000,0.028428079728209737,0.025705130354360044,0.98,0.020846244620397254,1000,constant,medium,2,20000,4,PRUNED
43,43,-1300.958618888259,2022-08-12 07:36:03.708770,2022-08-12 08:00:39.427353,0 days 00:24:35.718583,128,1000000,0.035412872551895666,0.42543866518983353,0.9,0.05506971138871121,5000,linear,small,4,1,8,PRUNED
44,44,55.66441683769226,2022-08-12 08:00:39.443260,2022-08-12 08:37:09.458724,0 days 00:36:30.015464,32,50000,0.006006340952529832,0.01988336564156276,0.98,0.006107405708811227,1000,constant,medium,2,20000,4,PRUNED
45,45,-1998.0,2022-08-12 08:37:09.471058,2022-08-12 08:50:14.123637,0 days 00:13:04.652579,32,50000,0.05431479361300985,0.03386739829926634,0.98,0.022092774945863255,1000,constant,medium,2,20000,4,PRUNED
46,46,-1998.0,2022-08-12 08:50:14.136133,2022-08-12 09:01:02.964507,0 days 00:10:48.828374,256,100000,0.004319413959023986,0.07342798932411918,0.98,0.40540479648618877,1000,constant,medium,8,20000,4,PRUNED
47,47,-842.5702806531568,2022-08-12 09:01:02.982427,2022-08-12 09:14:43.647684,0 days 00:13:40.665257,32,50000,0.07973839245241438,0.10777709701680194,0.95,0.0003642703723898745,20000,linear,medium,4,1000,1,PRUNED
48,48,-655.6269680295343,2022-08-12 09:14:43.662338,2022-08-12 09:49:13.493073,0 days 00:34:29.830735,32,50000,0.022233518826914857,0.0028099734101832835,0.98,0.0010602568192098932,1000,constant,medium,2,15000,16,PRUNED
49,49,-1894.1931116759777,2022-08-12 09:49:13.509885,2022-08-12 10:50:11.284888,0 days 01:00:57.775003,100,1000000,0.045152804544075026,0.05725470323336371,0.995,0.010880336046223973,5000,constant,large,2,10000,128,PRUNED
50,50,337.43085931123426,2022-08-12 10:50:11.301323,2022-08-12 11:50:38.129877,0 days 01:00:26.828554,512,50000,0.13260416233287367,0.02303670118829032,0.999,0.00018059008354727135,20000,linear,small,4,20000,4,COMPLETE
51,51,,2022-08-12 11:50:38.163457,,,512,100000,0.1660026695333789,0.08883530468019268,0.999,0.00021759180077534138,20000,linear,small,4,5000,8,RUNNING
