,number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_beta,params_buffer_size,params_exploration_final_eps,params_exploration_fraction,params_gamma,params_learning_rate,params_learning_starts,params_lr_schedule,params_net_arch,params_subsample_steps,params_target_update_interval,params_train_freq,state
13,13,0.9297804622608901,2022-08-25 19:18:06.828837,2022-08-25 19:51:37.412459,0 days 00:33:30.583622,0.28184228217542373,256,0.40909882018647514,50000,0.0023794780844424027,0.14612266751844555,0.98,0.0002743396858727356,0,linear,medium,1,1000,4,COMPLETE
14,14,0.9154488931793285,2022-08-25 19:51:37.447245,2022-08-25 20:23:22.216060,0 days 00:31:44.768815,0.19970955590644196,256,0.4115301571496533,50000,3.1835968485404743e-05,0.11681329685352541,0.98,0.00017949102960117675,10000,linear,medium,1,1000,4,COMPLETE
15,15,0.0,2022-08-25 20:23:22.251478,2022-08-25 20:34:56.078614,0 days 00:11:33.827136,0.2905455918834771,256,0.40948429497331434,50000,0.056839251899249106,0.11118021143901385,0.999,0.36083788143212336,1000,linear,medium,1,5000,8,COMPLETE
16,16,0.8900242522375683,2022-08-25 20:34:56.103895,2022-08-25 20:57:19.534980,0 days 00:22:23.431085,0.3402209870990078,256,0.41045983205379233,50000,0.05870577749495917,0.2641990336647166,0.95,1.1057592030032477e-05,0,linear,medium,1,1000,4,COMPLETE
17,17,0.0,2022-08-25 20:57:19.569308,2022-08-25 21:06:34.538921,0 days 00:09:14.969613,0.0006830906437647055,16,0.05013559851135846,50000,0.0026178997777837765,0.10547699574307498,0.9999,0.00021753370368455388,0,linear,large,1,1000,4,COMPLETE
18,18,0.0,2022-08-25 21:06:34.576987,2022-08-25 21:19:51.734388,0 days 00:13:17.157401,0.21444788793624497,128,0.6713439175236734,1000000,0.08072894903592805,0.25342728641287526,0.99,0.061491855058963,0,linear,medium,1,5000,256,COMPLETE
19,19,0.8518374941909835,2022-08-25 21:19:51.766463,2022-08-25 21:39:28.749247,0 days 00:19:36.982784,0.3909146238986151,256,0.4856333047575753,50000,0.043658393034845706,0.3638128952977041,0.98,0.0026471191616714664,10000,linear,medium,2,1000,8,COMPLETE
20,20,0.7653180696757168,2022-08-25 21:39:28.778556,2022-08-25 21:59:15.519792,0 days 00:19:46.741236,0.690650670888485,128,0.7299008989372255,50000,0.0756202936864456,0.1448004870400533,0.98,6.938241529992663e-05,5000,linear,medium,1,1000,128,COMPLETE
21,21,0.9328643057921301,2022-08-25 21:59:15.551365,2022-08-25 22:32:48.688377,0 days 00:33:33.137012,0.17868516517536237,256,0.37560608365638654,50000,0.00022555614974031197,0.09386637226682187,0.98,0.0001893260443416778,10000,linear,medium,1,1000,4,COMPLETE
22,22,0.9168744729537915,2022-08-25 22:32:48.717990,2022-08-25 23:05:02.730897,0 days 00:32:14.012907,0.18748723957098767,256,0.3261639593898981,50000,0.0344009471843849,0.07620233905016724,0.98,0.0003412677865445932,10000,linear,medium,1,1000,4,COMPLETE
23,23,0.9300339675915797,2022-08-25 23:05:02.761438,2022-08-25 23:35:13.685404,0 days 00:30:10.923966,0.12239571173266198,256,0.4743082190321466,50000,0.009899365900603094,0.21950813102676298,0.98,0.0011631467979822756,10000,linear,medium,1,1000,4,COMPLETE
24,24,0.9207899867963344,2022-08-25 23:35:13.714625,2022-08-26 00:06:59.594860,0 days 00:31:45.880235,0.08730463654129544,256,0.346629935891609,50000,0.024082376922947724,0.24089104911981737,0.98,0.0013219421386923933,10000,linear,large,1,1000,4,COMPLETE
25,25,0.9200692093109041,2022-08-26 00:06:59.621490,2022-08-26 00:38:51.701973,0 days 00:31:52.080483,0.11034289731594493,256,0.13936914085736662,50000,0.011479134589637478,0.22441667104613292,0.98,0.00010037468244126926,10000,linear,medium,1,1000,4,COMPLETE
26,26,0.9271348720338062,2022-08-26 00:38:51.731342,2022-08-26 01:10:30.227153,0 days 00:31:38.495811,0.0005571678351479897,256,0.35056413220402155,100000,0.03904586313079657,0.16041731299875894,0.995,0.008271815677116955,10000,linear,medium,1,10000,4,COMPLETE
27,27,0.8935245706230792,2022-08-26 01:10:30.254370,2022-08-26 01:32:43.902514,0 days 00:22:13.648144,0.4079812262905508,256,0.5377051578165417,10000,0.06924764463638258,0.2945503892650865,0.9999,0.0033374966482083088,10000,linear,medium,4,5000,4,COMPLETE
28,28,0.0,2022-08-26 01:32:43.930021,2022-08-26 01:45:42.632616,0 days 00:12:58.702595,0.15670996496927214,256,0.4889067938574786,1000000,0.03367887062660081,0.09266831928880281,0.9,0.0407927331547089,1000,linear,large,2,20000,1,COMPLETE
29,29,0.9260034613986865,2022-08-26 01:45:42.659562,2022-08-26 02:15:56.950291,0 days 00:30:14.290729,0.24318660777518442,256,0.644519595500856,50000,0.10777223060517174,0.19646808328673174,0.98,0.0007279349716995127,10000,linear,medium,1,15000,1000,COMPLETE
