,number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_beta,params_buffer_size,params_exploration_final_eps,params_exploration_fraction,params_gamma,params_learning_rate,params_learning_starts,params_lr_schedule,params_net_arch,params_subsample_steps,params_target_update_interval,params_train_freq,state
0,0,0.8872061661538171,2022-08-25 15:24:55.564679,2022-08-25 15:48:32.806114,0 days 00:23:37.241435,0.6014476829969284,128,0.6196776946143877,50000,0.05171318913215892,0.2018695718540789,0.98,0.0009966170993316345,0,linear,small,1,15000,16,COMPLETE
1,1,0.8279211092539175,2022-08-25 15:48:32.846347,2022-08-25 16:05:33.141388,0 days 00:17:00.295041,0.5194128882088668,512,0.24912825100540326,10000,0.17654927846137217,0.3070224075106157,0.995,0.007977110967879031,5000,linear,small,8,15000,256,COMPLETE
2,2,0.8153528451363201,2022-08-25 16:05:33.173779,2022-08-25 16:22:48.986958,0 days 00:17:15.813179,0.4637277595387831,100,0.2865916081376846,1000000,0.11428017264826884,0.4980515920991394,0.9,0.018802512061733077,10000,linear,small,4,15000,16,COMPLETE
3,3,0.7063454690640337,2022-08-25 16:22:49.011263,2022-08-25 16:35:11.651315,0 days 00:12:22.640052,0.8360881407511571,64,0.8750378212369717,100000,0.14233870026764853,0.3467938634614417,0.98,3.37203472531943e-05,0,constant,small,2,1,16,COMPLETE
4,4,0.0,2022-08-25 16:35:11.690053,2022-08-25 16:47:32.556639,0 days 00:12:20.866586,0.9153215791440729,32,0.7904506418320953,100000,0.18520780744018966,0.1998830414295143,0.99,0.477742592988448,20000,linear,small,2,20000,1000,COMPLETE
5,5,0.0,2022-08-25 16:47:32.591717,2022-08-25 16:57:20.891487,0 days 00:09:48.299770,0.7956047967042151,16,0.1926932885075503,100000,0.1522178940436023,0.007377169629621982,0.9999,0.00015685080195072495,0,constant,small,4,1,1,COMPLETE
6,6,0.858102013503278,2022-08-25 16:57:20.916636,2022-08-25 17:14:39.835662,0 days 00:17:18.919026,0.07477903607378966,32,0.79935225534502,1000000,0.19600432157950143,0.45842547566322367,0.9,5.96799888910713e-05,20000,constant,small,8,1,1,COMPLETE
7,7,0.0,2022-08-25 17:14:39.866988,2022-08-25 17:23:57.148482,0 days 00:09:17.281494,0.8165501884136874,100,0.06417277747718042,50000,0.0921478044074003,0.03914099016106831,0.95,2.254293087564379e-05,1000,constant,small,8,10000,128,COMPLETE
8,8,0.5527197330695125,2022-08-25 17:23:57.180025,2022-08-25 17:37:46.296943,0 days 00:13:49.116918,0.9928799786227865,512,0.9422496305725814,10000,0.022917436112788604,0.0665723227077562,0.995,0.013256629805918064,5000,constant,large,8,20000,16,COMPLETE
9,9,0.2823615052894363,2022-08-25 17:37:46.333421,2022-08-25 17:54:45.581873,0 days 00:16:59.248452,0.9602737764068331,64,0.21521185202402093,10000,0.13893256455197212,0.010175698051904714,0.999,0.0022209292970636263,20000,constant,small,4,10000,1000,COMPLETE
10,10,0.8958621319712524,2022-08-25 17:54:45.606920,2022-08-25 18:21:32.656974,0 days 00:26:47.050054,0.5541192512659402,128,0.5680248239028449,50000,0.017768890477774017,0.17451372747766647,0.98,0.0006158946903137238,0,linear,medium,1,1000,4,COMPLETE
11,11,0.9070853619534957,2022-08-25 18:21:32.685386,2022-08-25 18:47:39.051336,0 days 00:26:06.365950,0.5351557245658657,128,0.5638859375348603,50000,0.02364484024137997,0.170586938186362,0.98,0.000675188545007024,0,linear,medium,1,1000,4,COMPLETE
12,12,0.9277074726621439,2022-08-25 18:47:39.078739,2022-08-25 19:18:06.797475,0 days 00:30:27.718736,0.30031075019275666,128,0.44413282756266803,50000,0.0013129366923107094,0.12955386592436902,0.98,0.00045298224641222493,0,linear,medium,1,1000,4,COMPLETE
