,number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,state
0,0,0.36115656270101293,2022-08-13 10:27:06.285577,2022-08-13 11:46:45.803566,0 days 01:19:39.517989,0.7918901146108902,0.8293459019399649,COMPLETE
1,1,0.3645868730801112,2022-08-13 11:46:45.833641,2022-08-13 13:03:36.019000,0 days 01:16:50.185359,0.8006701101870798,0.2027241513015724,COMPLETE
2,2,0.30587836079745634,2022-08-13 13:03:36.045500,2022-08-13 13:27:36.431822,0 days 00:24:00.386322,0.9711524108310394,0.8792818861429738,PRUNED
3,3,0.5381775864843555,2022-08-13 13:27:36.446855,2022-08-13 14:49:03.020707,0 days 01:21:26.573852,0.4102062606411825,0.19500232446374322,COMPLETE
4,4,0.4360737541181381,2022-08-13 14:49:03.046195,2022-08-13 15:05:45.905918,0 days 00:16:42.859723,0.8998232724141473,0.4732579789767528,PRUNED
5,5,0.626353634243474,2022-08-13 15:05:45.916985,2022-08-13 16:25:21.490761,0 days 01:19:35.573776,0.17318172225167994,0.5683479525685227,COMPLETE
6,6,0.41090814634349415,2022-08-13 16:25:21.514684,2022-08-13 16:46:03.974464,0 days 00:20:42.459780,0.7381965890329816,0.17945265041667557,PRUNED
7,7,0.5398499314855566,2022-08-13 16:46:03.983507,2022-08-13 18:03:27.999649,0 days 01:17:24.016142,0.008882433044856253,0.24913595995214377,COMPLETE
8,8,,2022-08-13 18:03:28.023218,,,0.02787473702922194,0.6907238120567465,RUNNING
