,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_exploration_final_eps,params_exploration_fraction,params_gamma,params_learning_rate,params_learning_starts,params_lr_schedule,params_net_arch,params_subsample_steps,params_target_update_interval,params_train_freq,state
26,26,25.00000037252903,2022-08-09 18:45:03.534384,2022-08-09 18:45:50.041681,0 days 00:00:46.507297,16,50000,0.06587403596944548,0.11804310210699848,0.9,0.005291296532142869,1000,constant,small,8,1000,1000,PRUNED
27,27,28.252345395833252,2022-08-09 18:45:50.045570,2022-08-09 18:47:56.732132,0 days 00:02:06.686562,128,100000,0.026060770654590178,0.2986076944602649,0.995,0.0005574830171563924,1000,linear,small,1,20000,128,PRUNED
28,28,-499.0,2022-08-09 18:47:56.736327,2022-08-09 18:48:25.744092,0 days 00:00:29.007765,100,10000,0.04563634284121674,0.4962510282804569,0.95,0.0017990084516264504,5000,constant,small,8,1,4,PRUNED
29,29,66.46040582042187,2022-08-09 18:48:25.748226,2022-08-09 18:50:10.392518,0 days 00:01:44.644292,64,50000,0.16365825521266186,0.18397001292889845,0.9999,0.0001473841821446124,1000,linear,large,4,5000,256,COMPLETE
30,30,57.92779332250357,2022-08-09 18:50:10.405883,2022-08-09 18:51:51.108331,0 days 00:01:40.702448,64,50000,0.16860051168007847,0.14457127992995783,0.9999,0.00015098586526721537,1000,linear,large,4,5000,256,PRUNED
31,31,65.90676869992167,2022-08-09 18:51:51.112243,2022-08-09 18:53:47.285273,0 days 00:01:56.173030,64,50000,0.17968137307261894,0.20816396958678512,0.9999,0.00041827740161386233,1000,linear,large,4,5000,256,COMPLETE
32,32,74.29939953852445,2022-08-09 18:53:47.296835,2022-08-09 18:55:50.898899,0 days 00:02:03.602064,64,50000,0.19520950041252844,0.20317872455352082,0.9999,0.0003896693643497189,1000,linear,large,4,5000,256,COMPLETE
33,33,58.09491921570152,2022-08-09 18:55:50.912346,2022-08-09 18:57:29.587657,0 days 00:01:38.675311,64,50000,0.1862432422594425,0.22924545670567098,0.9999,4.687599507958753e-05,1000,linear,large,4,5000,256,PRUNED
34,34,72.23022394049913,2022-08-09 18:57:29.591991,2022-08-09 18:59:29.146977,0 days 00:01:59.554986,64,50000,0.17353196760160625,0.18940385909174567,0.9999,0.0013242303946141903,1000,linear,large,4,5000,256,COMPLETE
35,35,22.321601850539444,2022-08-09 18:59:29.161542,2022-08-09 19:01:23.193436,0 days 00:01:54.031894,64,50000,0.19919075414774098,0.17441277688767068,0.9999,0.0013257043868096638,1000,linear,large,4,5000,256,PRUNED
36,36,-499.0,2022-08-09 19:01:23.197646,2022-08-09 19:01:36.299243,0 days 00:00:13.101597,64,50000,0.17016565872930928,0.25175890702023285,0.9999,0.00014027202960266303,20000,linear,large,4,5000,256,PRUNED
