,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_lr_schedule,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_vf_coef,state
0,0,25.00000037252903,2022-08-18 10:47:28.134714,2022-08-18 10:56:14.863681,0 days 00:08:46.728967,relu,64,0.4,0.0003848743720695851,1.0,0.98,0.001667572409591891,linear,1.0,1,512,large,0.9684742525033186,COMPLETE
1,1,-499.0,2022-08-18 10:56:14.901326,2022-08-18 11:02:30.178742,0 days 00:06:15.277416,relu,64,0.4,2.1977286626287553e-08,0.99,0.995,0.5000513644415817,linear,0.8,1,1024,large,0.8783772027683519,PRUNED
2,2,25.00000037252903,2022-08-18 11:02:30.194109,2022-08-18 12:39:54.928925,0 days 01:37:24.734816,relu,8,0.1,2.540719198328486e-06,0.92,0.999,2.7225886996994772e-05,constant,0.9,10,2048,medium,0.3267606215012975,COMPLETE
3,3,-499.0,2022-08-18 12:39:54.958724,2022-08-18 13:17:45.683945,0 days 00:37:50.725221,relu,64,0.3,0.0015987326925365293,0.8,0.9999,0.0007146221918964171,constant,2.0,10,64,small,0.4123629179651078,PRUNED
4,4,-499.0,2022-08-18 13:17:45.696019,2022-08-18 14:55:39.445123,0 days 01:37:53.749104,tanh,512,0.2,0.000748417076995166,0.98,0.98,0.051365804504749445,linear,2.0,20,256,medium,0.8025060220035102,PRUNED
5,5,25.00000037252903,2022-08-18 14:55:39.459099,2022-08-18 15:43:12.064533,0 days 00:47:32.605434,tanh,8,0.1,0.00016814149848512591,0.99,0.995,0.0005301994027839804,constant,0.6,5,2048,small,0.678276050850668,COMPLETE
6,6,-499.0,2022-08-18 15:43:12.093073,2022-08-18 16:20:02.767280,0 days 00:36:50.674207,tanh,128,0.2,0.00035263974505637155,0.9,0.999,0.028183558461232695,linear,0.7,10,1024,large,0.30279061518536476,PRUNED
7,7,,2022-08-18 16:20:02.782483,,,tanh,256,0.3,2.406445850295702e-07,0.99,0.99,0.00024582836924160167,linear,0.9,20,128,large,0.5565716172532574,RUNNING
