,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_exploration_final_eps,params_exploration_fraction,params_gamma,params_learning_rate,params_learning_starts,params_lr_schedule,params_net_arch,params_subsample_steps,params_target_update_interval,params_train_freq,state
0,0,25.00000037252903,2022-08-22 04:02:28.336410,2022-08-22 04:08:16.182092,0 days 00:05:47.845682,16,1000000,0.11632583248730877,0.3428308052010735,0.98,2.097814918513923e-05,10000,linear,small,8,1,1,COMPLETE
1,1,39.291957002961134,2022-08-22 04:08:16.223160,2022-08-22 04:19:01.605391,0 days 00:10:45.382231,32,50000,0.1978447052533947,0.3258741642823571,0.95,0.00021558070744530044,1000,linear,medium,2,10000,256,COMPLETE
2,2,25.00000037252903,2022-08-22 04:19:01.636708,2022-08-22 04:24:18.863052,0 days 00:05:17.226344,64,50000,0.08757200964380092,0.3640393202584119,0.995,0.06399804653445326,1000,linear,medium,2,5000,256,PRUNED
3,3,25.00000037252903,2022-08-22 04:24:18.874524,2022-08-22 04:28:45.838565,0 days 00:04:26.964041,64,50000,0.19325404628814927,0.11367241113603588,0.95,0.2319645973527935,10000,linear,medium,8,15000,8,PRUNED
4,4,37.904482667418776,2022-08-22 04:28:45.849538,2022-08-22 04:38:42.574332,0 days 00:09:56.724794,128,10000,0.161549709231738,0.4710349716412453,0.95,0.009095842310201248,1000,linear,small,2,5000,16,COMPLETE
5,5,-499.0,2022-08-22 04:38:42.604246,2022-08-22 04:42:40.478042,0 days 00:03:57.873796,100,100000,0.061415238721416236,0.3418435667289673,0.9999,0.3574902330622765,10000,constant,small,4,1,1000,PRUNED
6,6,25.00000037252903,2022-08-22 04:42:40.490732,2022-08-22 04:48:40.312784,0 days 00:05:59.822052,16,10000,0.10683477451315906,0.35044164975111186,0.995,0.14773410907196544,10000,linear,medium,8,10000,1,PRUNED
7,7,34.737849926583294,2022-08-22 04:48:40.326141,2022-08-22 05:00:11.517043,0 days 00:11:31.190902,512,50000,0.09094033630277834,0.3331949364582941,0.99,0.009466651974833817,10000,linear,small,4,10000,4,PRUNED
8,8,25.00000037252903,2022-08-22 05:00:11.531095,2022-08-22 05:05:44.173649,0 days 00:05:32.642554,16,10000,0.07739342938341953,0.45028229846804063,0.999,0.07915117577400126,1000,linear,large,1,1,128,PRUNED
9,9,27.555964614264667,2022-08-22 05:05:44.186175,2022-08-22 05:11:20.183310,0 days 00:05:35.997135,32,50000,0.12097510225767527,0.2025005676106839,0.95,0.019913178958637513,20000,linear,small,4,1000,1000,PRUNED
10,10,37.987162486460065,2022-08-22 05:11:20.198449,2022-08-22 05:21:38.795648,0 days 00:10:18.597199,32,1000000,0.013626651145195887,0.01013726474243562,0.9,0.00022531363019151,5000,constant,large,2,20000,256,COMPLETE
11,11,32.961395008093675,2022-08-22 05:21:38.829647,2022-08-22 05:30:21.291549,0 days 00:08:42.461902,32,1000000,0.010425429252493106,0.014246779317533613,0.9,0.00033484433300457665,5000,constant,large,2,20000,256,PRUNED
12,12,42.25611486710259,2022-08-22 05:30:21.300783,2022-08-22 05:42:48.188997,0 days 00:12:26.888214,32,1000000,0.0020259712899578335,0.20103996712141609,0.9,0.00039075954308425613,5000,constant,large,2,20000,256,COMPLETE
13,13,42.673032926004225,2022-08-22 05:42:48.222480,2022-08-22 05:55:46.254227,0 days 00:12:58.031747,256,100000,0.042381866804123584,0.21289255744529148,0.9,0.0006178900146691187,0,constant,large,2,10000,256,COMPLETE
14,14,-38.88225387302445,2022-08-22 05:55:46.284027,2022-08-22 06:09:04.373043,0 days 00:13:18.089016,256,100000,0.04366327016855174,0.18445888824498574,0.9,0.0012101469820242489,0,constant,large,1,20000,256,PRUNED
15,15,39.7132396802579,2022-08-22 06:09:04.385607,2022-08-22 06:18:53.685174,0 days 00:09:49.299567,256,100000,0.030974796762065455,0.12211636170287393,0.9,2.380212195829642e-05,0,constant,large,2,15000,4,COMPLETE
16,16,-452.1447125058621,2022-08-22 06:18:53.713351,2022-08-22 06:26:00.603809,0 days 00:07:06.890458,256,1000000,0.003980961789321988,0.25177420389366967,0.9,0.0014390529809539586,5000,constant,large,2,1000,8,PRUNED
17,17,43.854034129683896,2022-08-22 06:26:00.617076,2022-08-22 06:38:57.328009,0 days 00:12:56.710933,512,100000,0.039493516781169885,0.2454324696669601,0.98,0.0006985259342241527,0,constant,large,2,10000,16,COMPLETE
18,18,42.01162472838498,2022-08-22 06:38:57.355006,2022-08-22 06:51:50.478157,0 days 00:12:53.123151,512,100000,0.04839006329570979,0.26189570426215714,0.98,4.212599247231383e-05,0,constant,large,1,10000,16,COMPLETE
19,19,4.284912280924914,2022-08-22 06:51:50.502464,2022-08-22 07:04:32.353440,0 days 00:12:41.850976,512,100000,0.0659712278773799,0.09828835063824534,0.98,0.002563645503947246,0,constant,large,2,10000,16,PRUNED
20,20,-499.0,2022-08-22 07:04:32.363530,2022-08-22 07:07:34.059142,0 days 00:03:01.695612,128,100000,0.03071081704170968,0.2796596459336659,0.99,0.997992149268713,0,constant,large,2,10000,128,PRUNED
21,21,37.213197120106635,2022-08-22 07:07:34.071177,2022-08-22 07:18:35.637610,0 days 00:11:01.566433,100,100000,0.026159247705419844,0.1892572943282932,0.999,0.0005352696723501031,20000,constant,large,2,20000,16,PRUNED
22,22,41.059146374027115,2022-08-22 07:18:35.647909,2022-08-22 07:30:20.325032,0 days 00:11:44.677123,256,1000000,0.00022905880879685314,0.15154244701874267,0.9999,8.407246017432819e-05,5000,constant,large,2,10000,256,COMPLETE
23,23,45.16951221176868,2022-08-22 07:30:20.358460,2022-08-22 07:43:05.933266,0 days 00:12:45.574806,512,100000,0.05315730900606637,0.21353091228502785,0.98,0.0006083827930355209,0,constant,large,2,20000,256,COMPLETE
24,24,37.633475601866486,2022-08-22 07:43:05.970097,2022-08-22 07:56:03.513902,0 days 00:12:57.543805,512,100000,0.04876358343034614,0.23909663811849066,0.98,0.0009885332479680842,0,constant,large,2,10000,16,PRUNED
25,25,41.371567586500895,2022-08-22 07:56:03.524314,2022-08-22 08:07:41.483773,0 days 00:11:37.959459,512,100000,0.07335195863072919,0.3939354127672814,0.98,0.0001224046206627651,0,constant,large,2,1000,256,COMPLETE
26,26,-46.46214924271626,2022-08-22 08:07:41.516510,2022-08-22 08:20:51.826923,0 days 00:13:10.310413,512,100000,0.052822181441545726,0.2910866454451933,0.98,0.004669007318139669,0,constant,large,1,5000,1,PRUNED
27,27,-159.24667115039193,2022-08-22 08:20:51.842319,2022-08-22 08:27:29.519567,0 days 00:06:37.677248,512,100000,0.1362697100640692,0.06122945355287135,0.98,8.252856132655404e-05,0,constant,large,4,15000,1000,PRUNED
28,28,-42.11890592183336,2022-08-22 08:27:29.534484,2022-08-22 08:39:04.446342,0 days 00:11:34.911858,256,100000,0.021651114248400206,0.22558663865431222,0.98,0.0023718279971739606,0,constant,medium,8,20000,4,PRUNED
29,29,25.00000037252903,2022-08-22 08:39:04.459914,2022-08-22 08:43:44.195633,0 days 00:04:39.735719,512,100000,0.03660422752361432,0.15149766301787676,0.98,1.5485122863415725e-05,20000,constant,large,8,1,8,PRUNED
