row ID,row m/z,row retention time,row identity (main ID),row identity (all IDs),row identity (main ID + details),row comment,row number of detected peaks,fullscan_QCB.mzML filtered Peak status,fullscan_QCB.mzML filtered Peak name,fullscan_QCB.mzML filtered Peak m/z,fullscan_QCB.mzML filtered Peak RT,fullscan_QCB.mzML filtered Peak RT start,fullscan_QCB.mzML filtered Peak RT end,fullscan_QCB.mzML filtered Peak duration time,fullscan_QCB.mzML filtered Peak height,fullscan_QCB.mzML filtered Peak area,fullscan_QCB.mzML filtered Peak charge,fullscan_QCB.mzML filtered Peak # data points,fullscan_QCB.mzML filtered Peak FWHM,fullscan_QCB.mzML filtered Peak tailing factor,fullscan_QCB.mzML filtered Peak asymmetry factor,fullscan_QCB.mzML filtered Peak m/z min,fullscan_QCB.mzML filtered Peak m/z max,
1,118.08644104003906,9.2341551736,,,,,1,DETECTED,118.0864 m/z @9.23 [fullscan_QCB.mzML filtered],118.08644104003906,9.2341551736,8.35468351388333,10.0944425805333,1.7397590666499703,3.4128148E7,5.817077469692224E8,1,210,0.33643213255912663,0.8672981671138962,0.6938734831738361,118.08638763427734,118.08654022216797,
2,258.11029052734375,10.84694975495,,,,,1,DETECTED,258.1103 m/z @10.85 [fullscan_QCB.mzML filtered],258.11029052734375,10.84694975495,10.40256736775,11.7814304530833,1.3788630853332986,2.7967972E7,2.915795657936065E8,1,208,0.15654047286388462,1.3329905450381174,1.7685290277224577,258.11004638671875,258.1107482910156,
3,116.07079315185547,10.2907110930833,,,,,1,DETECTED,116.0708 m/z @10.29 [fullscan_QCB.mzML filtered],116.07079315185547,10.2907110930833,9.42696318428333,11.1512664192,1.72430323491667,2.2293822E7,2.708662061493862E8,0,208,0.20505826098899504,1.0955895039234755,1.3361270763391302,116.0707015991211,116.07086944580078,
4,70.06534576416016,10.2907110930833,,,,,1,DETECTED,70.0653 m/z @10.29 [fullscan_QCB.mzML filtered],70.06534576416016,10.2907110930833,9.42696318428333,11.1426004546667,1.71563727038337,1.3277793E7,1.6332629454388553E8,0,207,0.20678203649386262,1.091518798336477,1.163886362781724,70.06529998779297,70.06538391113281,
5,268.1043395996094,7.97385680453333,,,,,1,DETECTED,268.1043 m/z @7.97 [fullscan_QCB.mzML filtered],268.1043395996094,7.97385680453333,7.42151560615,8.82338622508333,1.401870618933331,1.0258795E7,1.3175620001251638E8,1,208,0.16491196267555175,0.8115215887067274,0.6362641003868637,268.1041259765625,268.1048278808594,
6,104.107177734375,18.11620043415,,,,,1,DETECTED,104.1072 m/z @18.12 [fullscan_QCB.mzML filtered],104.107177734375,18.11620043415,17.4506858898833,19.1691289720167,1.7184430821334011,9154063.0,1.5356916873872647E8,1,207,0.24849797429848408,1.0865372468414491,1.0994327110236726,104.1070785522461,104.10723876953125,
7,138.0551300048828,9.566843795200002,,,,,1,DETECTED,138.0551 m/z @9.57 [fullscan_QCB.mzML filtered],138.0551300048828,9.566843795200002,8.74771781921667,10.4189916829333,1.67127386371663,8222642.5,7.37307217384224E7,0,206,0.1511663514808408,1.1514346929193313,1.3771774807209354,138.05487060546875,138.05531311035156,
8,104.10718536376953,10.84694975495,,,,,1,DETECTED,104.1072 m/z @10.85 [fullscan_QCB.mzML filtered],104.10718536376953,10.84694975495,10.4433803856167,11.7643724090833,1.3209920234665997,5169048.5,5.161600523310358E7,0,208,0.179257049481933,1.3413885963045127,1.735908035909056,104.10704040527344,104.10726928710938,
9,136.0619354248047,8.35468351388333,,,,,1,DETECTED,136.0619 m/z @8.35 [fullscan_QCB.mzML filtered],136.0619354248047,8.35468351388333,7.26969769015,8.9902575496,1.7205598594500007,4870276.0,1.0626941350608948E8,1,208,0.5516530402776967,0.6000842576672779,0.2711016960163443,136.0618438720703,136.06199645996094,
10,152.0568084716797,10.4939914624,,,,,1,DETECTED,152.0568 m/z @10.49 [fullscan_QCB.mzML filtered],152.0568084716797,10.4939914624,9.66899253493333,11.4102304698833,1.7412379349499698,3185799.75,3.4612009159421995E7,0,209,0.17661615489173776,1.2351360199947035,1.500076525061444,152.0565643310547,152.0569305419922,
11,235.119140625,6.91334759548333,,,,,1,DETECTED,235.1191 m/z @6.91 [fullscan_QCB.mzML filtered],235.119140625,6.91334759548333,5.83125337973333,7.63864989388333,1.8073965141499997,3020598.0,2.429305852297574E7,1,209,0.0642921507540617,0.582964264174784,0.171745932521613,235.1188507080078,235.11947631835938,
12,260.1131591796875,9.591434738150001,,,,,1,DETECTED,260.1132 m/z @9.59 [fullscan_QCB.mzML filtered],260.1131591796875,9.591434738150001,8.78971449175,10.4771396301333,1.6874251383832988,2871975.25,3.5407262624619015E7,1,205,0.17379906198843464,1.1732778218034348,1.1984442748004658,260.1130065917969,260.1136474609375,
13,126.05512237548828,7.07676891228333,,,,,1,DETECTED,126.0551 m/z @7.08 [fullscan_QCB.mzML filtered],126.05512237548828,7.07676891228333,6.14091168693333,7.91825045308333,1.7773387661500006,2809097.5,2.7090825468025547E7,1,207,0.13135425814848123,0.8022894855047821,0.6524273997189661,126.05502319335938,126.05522155761719,
14,108.04458236694336,7.07676891228333,,,,,1,DETECTED,108.0446 m/z @7.08 [fullscan_QCB.mzML filtered],108.04458236694336,7.07676891228333,6.11522899386667,7.8861725696,1.7709435757333303,2441855.5,2.111552270676387E7,0,208,0.10884218138808333,0.8256869895101958,0.6127899694733041,108.0444564819336,108.04469299316406,
15,248.11306762695312,11.5827015834833,,,,,1,DETECTED,248.1131 m/z @11.58 [fullscan_QCB.mzML filtered],248.11306762695312,11.5827015834833,10.7087899109333,12.4644318498833,1.755641938950001,2207790.5,2.574063437480685E7,1,207,0.15952939717574388,0.8217243590896104,1.0343697231808966,248.11264038085938,248.11380004882812,
16,266.12367248535156,11.55691496535,,,,,1,DETECTED,266.1237 m/z @11.56 [fullscan_QCB.mzML filtered],266.12367248535156,11.55691496535,10.692117584816701,12.4561906045333,1.764073019716598,1991678.75,2.5019253533773683E7,1,208,0.16360192045654287,0.7949010230970538,1.4409428475840453,266.123291015625,266.1241455078125,
17,560.4712524414062,3.50275439706667,,,,,1,DETECTED,560.4713 m/z @3.50 [fullscan_QCB.mzML filtered],560.4712524414062,3.50275439706667,3.35280957733333,4.5376228256,1.1848132482666696,1665575.375,2.4792337638033263E7,1,209,0.2087761290240997,3.6321892312707065,4.506850933567826,560.4708251953125,560.4718017578125,
18,276.1443786621094,7.81237928455,,,,,1,DETECTED,276.1444 m/z @7.81 [fullscan_QCB.mzML filtered],276.1443786621094,7.81237928455,6.80956763068333,8.52177807308333,1.7122104424000009,1619362.625,5.294938430323205E7,1,207,0.40058926234210723,0.7080885720357595,0.39745665024453875,276.1442565917969,276.14459228515625,
19,130.0864715576172,10.001753879733299,,,,,1,DETECTED,130.0865 m/z @10.00 [fullscan_QCB.mzML filtered],130.0864715576172,10.001753879733299,9.17045737146667,10.7832896485333,1.6128322770666301,1554384.0,1.4578484944199976E7,0,206,0.15274646720834184,1.145091086481389,1.3512387406428747,130.0862579345703,130.08668518066406,
20,262.1287841796875,8.57996947201667,,,,,1,DETECTED,262.1288 m/z @8.58 [fullscan_QCB.mzML filtered],262.1287841796875,8.57996947201667,7.61351298401667,9.12983380748333,1.5163208234666596,1502464.125,2.4983011094051477E7,1,207,0.18251120402616117,0.6420613919504955,0.6072116867552451,262.1285095214844,262.1291198730469,
21,278.12371826171875,9.59972615066667,,,,,1,DETECTED,278.1237 m/z @9.60 [fullscan_QCB.mzML filtered],278.12371826171875,9.59972615066667,8.77275245413333,10.4771396301333,1.704387175999969,1424970.625,1.7360239362193335E7,0,207,0.1703896559369653,1.1194894620972644,1.1008033217794564,278.123291015625,278.1241760253906,
22,515.413330078125,3.50275439706667,,,,,1,DETECTED,515.4133 m/z @3.50 [fullscan_QCB.mzML filtered],515.413330078125,3.50275439706667,3.36130295066667,4.50372609786667,1.1424231471999997,1412039.5,1.7570911489951827E7,1,208,0.17034418884774638,2.8825750707975764,3.617502368840394,515.4129028320312,515.4137573242188,
23,209.09222412109375,6.91334759548333,,,,,1,DETECTED,209.0922 m/z @6.91 [fullscan_QCB.mzML filtered],209.09222412109375,6.91334759548333,5.8048732045333304,7.62184819815,1.81697499361667,1319014.25,1.4893722881455606E7,1,209,0.08301249242207831,0.6455718805667888,0.7220078265240433,209.092041015625,209.0923614501953,
24,129.06602478027344,11.5147101672,,,,,1,DETECTED,129.0660 m/z @11.51 [fullscan_QCB.mzML filtered],129.06602478027344,11.5147101672,11.0392139938667,12.2105487658833,1.1713347720165999,1272496.375,9979087.49728453,0,206,0.11829794746880218,1.0917218529807509,1.1124013927733833,129.06591796875,129.06614685058594,
25,126.06636810302734,8.14472843068333,,,,,1,DETECTED,126.0664 m/z @8.14 [fullscan_QCB.mzML filtered],126.06636810302734,8.14472843068333,7.42151560615,9.13798150401667,1.7164658978666703,1220765.125,1.5695904733596496E7,0,216,0.155868056776308,1.6525439464015057,0.8433588451759259,126.06626892089844,126.06644439697266,
26,282.1199188232422,6.8977250728,,,,,1,DETECTED,282.1199 m/z @6.90 [fullscan_QCB.mzML filtered],282.1199188232422,6.8977250728,5.71672394746667,7.53034939628333,1.8136254488166603,1141035.875,1.5590292677310606E7,1,208,0.07021111381452982,0.5996592143451459,2.0269682185175357,282.11962890625,282.1202087402344,
27,667.230224609375,12.4977159338833,,,,,1,DETECTED,667.2302 m/z @12.50 [fullscan_QCB.mzML filtered],667.230224609375,12.4977159338833,11.8072210586833,13.4102889304167,1.6030678717333995,1112420.125,2.0795751970422275E7,1,207,0.31656769340149715,1.001402324291075,0.9124730522337542,667.2283325195312,667.2313842773438,
