,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_lr_schedule,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_vf_coef,state
0,0,-1998.0,2022-08-15 10:41:52.425358,2022-08-15 10:58:32.611421,0 days 00:16:40.186063,relu,256,0.2,1.4814979817165397e-07,0.98,0.995,0.8017089866210786,constant,2.0,10,64,medium,0.5615559223145221,COMPLETE
1,1,352.27108993710283,2022-08-15 10:58:32.884723,2022-08-15 11:57:41.258978,0 days 00:59:08.374255,relu,32,0.3,3.06906496630011e-08,0.99,0.98,5.313128009474491e-05,linear,0.7,10,16,small,0.3805060386559881,COMPLETE
2,2,,2022-08-15 11:57:41.539340,,,relu,8,0.3,6.555265744325733e-07,0.95,0.95,0.00012059124765047375,constant,0.9,5,16,medium,0.20466631093657173,RUNNING
