,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_lr_schedule,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_vf_coef,state
0,0,-1998.0,2022-08-15 10:41:52.425358,2022-08-15 10:58:32.611421,0 days 00:16:40.186063,relu,256,0.2,1.4814979817165397e-07,0.98,0.995,0.8017089866210786,constant,2.0,10,64,medium,0.5615559223145221,COMPLETE
1,1,352.27108993710283,2022-08-15 10:58:32.884723,2022-08-15 11:57:41.258978,0 days 00:59:08.374255,relu,32,0.3,3.06906496630011e-08,0.99,0.98,5.313128009474491e-05,linear,0.7,10,16,small,0.3805060386559881,COMPLETE
2,2,,2022-08-15 11:57:41.539340,,,relu,8,0.3,6.555265744325733e-07,0.95,0.95,0.00012059124765047375,constant,0.9,5,16,medium,0.20466631093657173,RUNNING
3,3,100.00000149011612,2022-08-15 12:23:18.396366,2022-08-15 12:40:48.471047,0 days 00:17:30.074681,relu,128,0.3,0.00010905539837145028,1.0,0.995,9.409321998391705e-05,constant,0.6,5,1024,medium,0.9129814977193008,COMPLETE
4,4,100.00000149011612,2022-08-15 12:40:48.869592,2022-08-15 14:14:07.492879,0 days 01:33:18.623287,relu,16,0.3,3.3329793096519654e-08,0.8,0.995,0.0014471718203954425,constant,2.0,20,32,small,0.47644116136276327,COMPLETE
5,5,,2022-08-15 14:14:07.655411,,,relu,32,0.3,0.005688252970265453,0.92,0.99,6.983004705757962e-05,linear,0.3,5,64,large,0.5120495985118789,RUNNING
6,6,100.00000149011612,2022-08-15 14:23:44.143040,2022-08-15 15:01:29.557920,0 days 00:37:45.414880,tanh,32,0.4,7.080668880044463e-05,0.9,0.995,1.411516301304884e-05,constant,0.3,1,16,large,0.2779016224865407,COMPLETE
7,7,116.51075636190362,2022-08-15 15:01:29.677788,2022-08-15 15:32:54.047722,0 days 00:31:24.369934,relu,16,0.3,3.816140454806089e-07,0.92,0.98,0.0001221499360264,linear,0.6,1,512,medium,0.8166360267671536,COMPLETE
8,8,-1998.0,2022-08-15 15:32:54.220282,2022-08-15 15:57:41.099340,0 days 00:24:46.879058,relu,16,0.4,5.593902924360972e-06,0.92,0.999,0.03318372714524001,linear,0.7,20,512,large,0.7584649906278037,PRUNED
9,9,-1998.0,2022-08-15 15:57:41.283738,2022-08-15 16:08:58.624335,0 days 00:11:17.340597,tanh,128,0.4,0.00044498209197838245,1.0,0.98,0.0004267839019958386,linear,1.0,20,32,small,0.6227476631839461,PRUNED
10,10,,2022-08-15 16:08:58.735515,,,tanh,128,0.3,2.1671035128499764e-06,1.0,0.99,0.25215756157617786,linear,0.5,1,256,medium,0.039242388457040756,RUNNING
11,11,-1998.0,2022-08-15 18:20:32.564480,2022-08-15 18:27:29.990051,0 days 00:06:57.425571,tanh,128,0.3,0.01298881909492158,0.98,0.9,0.027514299256482213,constant,0.8,10,512,medium,0.4326460976224338,PRUNED
12,12,-1998.0,2022-08-15 18:27:30.113538,2022-08-15 18:30:22.075643,0 days 00:02:51.962105,relu,512,0.2,1.9244192619245047e-06,1.0,0.999,0.05819757823579782,constant,0.3,10,256,large,0.16973890640690348,PRUNED
13,13,100.00000149011612,2022-08-15 18:30:22.125755,2022-08-15 19:06:18.521028,0 days 00:35:56.395273,tanh,32,0.1,1.370605313343068e-08,0.99,0.95,1.2729154491677617e-05,linear,0.7,5,16,small,0.10263723994822488,PRUNED
14,14,-1077.330471892476,2022-08-15 19:06:18.676302,2022-08-15 19:18:23.271157,0 days 00:12:04.594855,relu,8,0.3,4.15465946913228e-07,0.99,0.98,0.00014319358291489564,linear,0.6,1,8,medium,0.900982169273053,PRUNED
15,15,100.00000149011612,2022-08-15 19:18:23.435335,2022-08-15 19:32:41.669329,0 days 00:14:18.233994,relu,64,0.3,3.0695233512664935e-07,0.92,0.9999,5.3261884585177816e-05,linear,0.9,1,2048,small,0.3062071306066557,PRUNED
16,16,-1480.2004386588815,2022-08-15 19:32:41.781025,2022-08-15 19:59:58.223455,0 days 00:27:16.442430,relu,16,0.1,1.6612662416155227e-08,0.95,0.99,0.0013799826584948314,linear,0.5,10,128,medium,0.7187145783776013,PRUNED
17,17,296.6520868110427,2022-08-15 19:59:58.321501,2022-08-15 20:32:04.528223,0 days 00:32:06.206722,relu,32,0.3,4.434732454401635e-06,0.92,0.98,0.00035552479238838805,linear,5.0,1,16,small,0.3465588947891533,COMPLETE
18,18,100.00000149011612,2022-08-15 20:32:04.725177,2022-08-15 20:59:08.241528,0 days 00:27:03.516351,relu,32,0.3,8.513136209615193e-06,0.99,0.98,0.0071817420014266805,linear,5.0,1,16,small,0.019294666961127083,PRUNED
19,19,-622.8759521428525,2022-08-15 20:59:08.289432,2022-08-15 21:12:05.665192,0 days 00:12:57.375760,relu,32,0.3,0.0012408530621093091,0.8,0.98,0.0004986850412742853,linear,5.0,10,16,small,0.3502742121274405,PRUNED
20,20,299.3340471520045,2022-08-15 21:12:05.746282,2022-08-15 21:54:35.260082,0 days 00:42:29.513800,relu,32,0.1,0.06190607867427601,0.9,0.95,3.201568615345576e-05,linear,5.0,5,16,small,0.20965893541157168,COMPLETE
