,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_lr_schedule,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_vf_coef,state
0,0,-1998.0,2022-08-15 10:41:52.425358,2022-08-15 10:58:32.611421,0 days 00:16:40.186063,relu,256,0.2,1.4814979817165397e-07,0.98,0.995,0.8017089866210786,constant,2.0,10,64,medium,0.5615559223145221,COMPLETE
1,1,352.27108993710283,2022-08-15 10:58:32.884723,2022-08-15 11:57:41.258978,0 days 00:59:08.374255,relu,32,0.3,3.06906496630011e-08,0.99,0.98,5.313128009474491e-05,linear,0.7,10,16,small,0.3805060386559881,COMPLETE
2,2,,2022-08-15 11:57:41.539340,,,relu,8,0.3,6.555265744325733e-07,0.95,0.95,0.00012059124765047375,constant,0.9,5,16,medium,0.20466631093657173,RUNNING
3,3,100.00000149011612,2022-08-15 12:23:18.396366,2022-08-15 12:40:48.471047,0 days 00:17:30.074681,relu,128,0.3,0.00010905539837145028,1.0,0.995,9.409321998391705e-05,constant,0.6,5,1024,medium,0.9129814977193008,COMPLETE
4,4,100.00000149011612,2022-08-15 12:40:48.869592,2022-08-15 14:14:07.492879,0 days 01:33:18.623287,relu,16,0.3,3.3329793096519654e-08,0.8,0.995,0.0014471718203954425,constant,2.0,20,32,small,0.47644116136276327,COMPLETE
5,5,,2022-08-15 14:14:07.655411,,,relu,32,0.3,0.005688252970265453,0.92,0.99,6.983004705757962e-05,linear,0.3,5,64,large,0.5120495985118789,RUNNING
6,6,100.00000149011612,2022-08-15 14:23:44.143040,2022-08-15 15:01:29.557920,0 days 00:37:45.414880,tanh,32,0.4,7.080668880044463e-05,0.9,0.995,1.411516301304884e-05,constant,0.3,1,16,large,0.2779016224865407,COMPLETE
7,7,116.51075636190362,2022-08-15 15:01:29.677788,2022-08-15 15:32:54.047722,0 days 00:31:24.369934,relu,16,0.3,3.816140454806089e-07,0.92,0.98,0.0001221499360264,linear,0.6,1,512,medium,0.8166360267671536,COMPLETE
8,8,-1998.0,2022-08-15 15:32:54.220282,2022-08-15 15:57:41.099340,0 days 00:24:46.879058,relu,16,0.4,5.593902924360972e-06,0.92,0.999,0.03318372714524001,linear,0.7,20,512,large,0.7584649906278037,PRUNED
9,9,-1998.0,2022-08-15 15:57:41.283738,2022-08-15 16:08:58.624335,0 days 00:11:17.340597,tanh,128,0.4,0.00044498209197838245,1.0,0.98,0.0004267839019958386,linear,1.0,20,32,small,0.6227476631839461,PRUNED
10,10,,2022-08-15 16:08:58.735515,,,tanh,128,0.3,2.1671035128499764e-06,1.0,0.99,0.25215756157617786,linear,0.5,1,256,medium,0.039242388457040756,RUNNING
