,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_lr_schedule,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_vf_coef,state
24,24,-313.11646722778676,2022-08-17 20:54:29.820149,2022-08-17 20:56:59.238082,0 days 00:02:29.417933,tanh,64,0.3,7.686462418124146e-05,0.8,0.9,0.0012567425572978898,constant,2.0,1,2048,small,0.6469263310096891,PRUNED
25,25,-499.0,2022-08-17 20:56:59.251207,2022-08-17 21:00:18.595080,0 days 00:03:19.343873,tanh,128,0.3,0.025864068494730576,0.8,0.9,0.007820342497296353,constant,0.6,5,128,small,0.536734793157954,PRUNED
26,26,40.72020825596992,2022-08-17 21:00:18.605979,2022-08-17 21:08:38.313725,0 days 00:08:19.707746,tanh,64,0.4,2.039142679306621e-06,0.8,0.9,0.00040886463457485376,linear,0.7,10,16,small,0.15429066376693154,COMPLETE
27,27,40.15083165892865,2022-08-17 21:08:38.340004,2022-08-17 21:17:00.895360,0 days 00:08:22.555356,tanh,32,0.1,3.21124456273787e-06,0.8,0.9,0.00023899042705447334,linear,0.5,10,16,small,0.3214516125190394,COMPLETE
28,28,38.34215607319493,2022-08-17 21:17:00.924386,2022-08-17 21:25:21.986069,0 days 00:08:21.061683,tanh,32,0.1,3.134793387053613e-06,0.8,0.9,0.00016453951694478418,linear,0.5,10,16,small,0.23434516261048194,COMPLETE
29,29,29.421091089956462,2022-08-17 21:25:22.011052,2022-08-17 21:35:01.832913,0 days 00:09:39.821861,tanh,32,0.1,1.192078777652729e-07,0.9,0.99,0.00020878815503215512,linear,0.5,10,16,large,0.22719567309735925,COMPLETE
30,30,-499.0,2022-08-17 21:35:01.855064,2022-08-17 21:42:33.205978,0 days 00:07:31.350914,tanh,32,0.1,1.1320486848437468e-06,0.99,0.9999,7.826417012220172e-05,linear,0.9,10,16,medium,0.31659897982563723,PRUNED
31,31,25.00000037252903,2022-08-17 21:42:33.218940,2022-08-17 21:50:33.149932,0 days 00:07:59.930992,tanh,32,0.1,3.2135469872902177e-06,0.8,0.9,3.2161962229157185e-05,linear,0.5,10,16,small,0.4329659501188994,COMPLETE
32,32,40.50423032882973,2022-08-17 21:50:33.179276,2022-08-17 21:59:05.562724,0 days 00:08:32.383448,tanh,32,0.1,8.80975275400497e-07,0.8,0.9,0.00019036846866252795,linear,0.5,10,16,small,0.2050224538994646,COMPLETE
33,33,-439.3599999576807,2022-08-17 21:59:05.589366,2022-08-17 22:05:02.771879,0 days 00:05:57.182513,tanh,32,0.1,6.167992973607821e-07,0.95,0.999,0.00026421347887944853,linear,0.5,10,16,small,0.13770767653665747,PRUNED
34,34,38.47952673225664,2022-08-17 22:05:02.786143,2022-08-17 22:13:18.155009,0 days 00:08:15.368866,tanh,32,0.1,5.9465085278773625e-08,0.8,0.9,7.10258384268561e-05,linear,0.5,10,16,small,0.21335939169842788,COMPLETE
35,35,25.00000037252903,2022-08-17 22:13:18.176551,2022-08-17 22:20:57.716048,0 days 00:07:39.539497,tanh,32,0.1,3.921600363794664e-08,0.9,0.995,3.100641650935219e-05,linear,0.5,10,16,small,0.010215757258129399,COMPLETE
36,36,-499.0,2022-08-17 22:20:57.739603,2022-08-17 22:22:47.161580,0 days 00:01:49.421977,tanh,256,0.1,7.610675995193975e-08,0.8,0.9999,0.1082395931344167,linear,0.8,10,1024,small,0.18777735505343118,PRUNED
37,37,36.522375570365696,2022-08-17 22:22:47.174936,2022-08-17 22:31:16.974310,0 days 00:08:29.799374,tanh,32,0.1,3.484677204430245e-07,0.98,0.9,9.660353774384889e-05,linear,0.7,10,16,small,0.10208863716332171,COMPLETE
38,38,31.278691972605884,2022-08-17 22:31:16.998818,2022-08-17 22:40:56.336542,0 days 00:09:39.337724,tanh,512,0.2,4.597581504598594e-08,1.0,0.95,5.06269388004948e-05,linear,5.0,10,16,medium,0.3226425780557899,COMPLETE
39,39,43.47121151785541,2022-08-17 22:40:56.357175,2022-08-17 22:53:59.375528,0 days 00:13:03.018353,tanh,8,0.1,1.3580057807548738e-06,0.8,0.9,0.0012721947464931303,linear,0.8,10,16,small,0.2665963705499098,COMPLETE
40,40,-171.14340259432794,2022-08-17 22:53:59.401525,2022-08-17 23:10:08.704542,0 days 00:16:09.303017,relu,8,0.1,1.5990745080838509e-06,0.95,0.999,0.001197481740534757,linear,0.8,10,1024,medium,0.07488818598399313,PRUNED
41,41,41.53173620831749,2022-08-17 23:10:08.715641,2022-08-17 23:23:21.671760,0 days 00:13:12.956119,tanh,8,0.1,1.0147337515666132e-08,0.8,0.9,0.00036381648857405983,linear,0.8,10,16,small,0.2787891916748316,COMPLETE
42,42,-1.8994225020811428,2022-08-17 23:23:21.697686,2022-08-17 23:36:38.014204,0 days 00:13:16.316518,tanh,8,0.1,3.8431773552919604e-07,0.8,0.9,0.0013527846539114535,linear,0.8,10,16,small,0.26955836589934906,PRUNED
43,43,,2022-08-17 23:36:38.025637,,,tanh,8,0.1,1.9136217333945843e-08,0.8,0.9,0.000384220592016564,linear,0.8,20,16,small,0.31394981403432054,RUNNING
