,number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_beta,params_buffer_size,params_exploration_final_eps,params_exploration_fraction,params_gamma,params_learning_rate,params_learning_starts,params_lr_schedule,params_net_arch,params_subsample_steps,params_target_update_interval,params_train_freq,state
0,0,0.602128249375466,2022-09-09 03:11:34.929213,2022-09-09 05:18:07.411579,0 days 02:06:32.482366,0.3217845898895486,16,0.33260823349324653,50000,0.04417476442293871,0.09701845876229892,0.995,5.5627250593736986e-05,5000,constant,large,4,20000,1,COMPLETE
1,1,,2022-09-09 05:18:07.441437,2022-09-09 05:44:01.964360,0 days 00:25:54.522923,0.9309263506989814,128,0.001450968300275468,50000,0.02595517050553984,0.39138496050892896,0.98,0.015860965827540093,1000,constant,medium,1,1000,256,PRUNED
2,2,,2022-09-09 05:44:01.981747,2022-09-09 06:03:57.060149,0 days 00:19:55.078402,0.1892538554411436,256,0.20978275510500222,50000,0.013899856921643106,0.33911389404102504,0.995,0.5817787183542091,20000,linear,large,8,5000,128,PRUNED
3,3,,2022-09-09 06:03:57.078000,2022-09-09 06:35:04.722028,0 days 00:31:07.644028,0.9593922841273199,256,0.966460764021393,10000,0.11700798138847875,0.30027642559105344,0.99,3.056868625150127e-05,5000,linear,small,2,1,8,PRUNED
4,4,,2022-09-09 06:35:04.734131,2022-09-09 06:54:19.307363,0 days 00:19:14.573232,0.5631509594108418,256,0.48261008802704364,10000,0.0817242985248704,0.483142848197366,0.9,0.2829046318880992,10000,constant,medium,4,10000,128,PRUNED
5,5,0.0,2022-09-09 06:54:19.319197,2022-09-09 08:34:45.677950,0 days 01:40:26.358753,0.6440011598923164,100,0.4979432093370505,10000,0.18024758661429371,0.2667619010203782,0.999,0.007326402748145344,5000,constant,medium,1,5000,1000,PRUNED
6,6,0.0,2022-09-09 08:34:45.690736,2022-09-09 09:31:19.341144,0 days 00:56:33.650408,0.4268269603777647,16,0.3019234481342089,1000000,0.15468363201870883,0.1328567506025204,0.98,0.5634317423733695,5000,constant,medium,2,5000,4,PRUNED
7,7,0.0,2022-09-09 09:31:19.352337,2022-09-09 11:04:46.046113,0 days 01:33:26.693776,0.08733553752713863,100,0.5051919754861324,10000,0.11076089410570136,0.30751198962380416,0.995,0.13417742099255614,10000,linear,large,8,20000,128,COMPLETE
8,8,0.0,2022-09-09 11:04:46.064926,2022-09-09 11:58:16.895412,0 days 00:53:30.830486,0.3365208572171352,32,0.640169230945518,50000,0.09735001709984004,0.10153162597346299,0.999,0.26751491175855013,1000,constant,medium,1,1,8,COMPLETE
9,9,,2022-09-09 11:58:16.917303,2022-09-09 12:15:49.450716,0 days 00:17:32.533413,0.49895802115074517,16,0.15068732548235564,10000,0.03636378668434133,0.37566675113806236,0.95,0.0031950766545289517,10000,linear,medium,1,15000,4,PRUNED
10,10,0.4291297974580835,2022-09-09 12:15:49.465288,2022-09-09 14:23:44.930762,0 days 02:07:55.465474,0.7489460160006575,64,0.8038702367800833,100000,0.0628266066167519,0.012007155330870656,0.9999,3.855585099328114e-05,0,constant,large,4,20000,1,COMPLETE
11,11,0.5396444586689183,2022-09-09 14:23:44.951844,2022-09-09 16:42:06.434973,0 days 02:18:21.483129,0.7478476082539578,64,0.8382570445714885,100000,0.056924267453536605,0.014034938137326716,0.9999,1.2236385317842499e-05,0,constant,large,4,20000,1,COMPLETE
12,12,0.0008034463966667357,2022-09-09 16:42:06.457927,2022-09-09 21:38:00.101371,0 days 04:55:53.643444,0.7661039037227528,64,0.9610782413338583,100000,0.05965090437412009,0.010745062271684216,0.9999,0.00028695823470583227,0,constant,large,4,20000,1,COMPLETE
13,13,0.7241120357698467,2022-09-09 21:38:00.119470,2022-09-09 23:51:49.145987,0 days 02:13:49.026517,0.2949401577898536,512,0.7201044972540763,100000,0.04963811033643929,0.14353011388824882,0.9999,1.0858469009468737e-05,0,constant,large,4,20000,16,COMPLETE
14,14,0.7376606877899471,2022-09-09 23:51:49.167592,2022-09-10 01:44:54.118440,0 days 01:53:04.950848,0.27919040568487385,512,0.6612034332613173,1000000,0.0038784883360653347,0.17161815078630432,0.995,0.0002405013643592562,20000,constant,small,4,20000,16,COMPLETE
15,15,0.1402929394812748,2022-09-10 01:44:54.144035,2022-09-10 04:50:34.537425,0 days 03:05:40.393390,0.05400130639160883,512,0.6847413500143422,1000000,0.008344801578235903,0.19270114230870333,0.99,0.00036513973516055776,20000,constant,small,4,1000,16,COMPLETE
16,16,0.8160564792327878,2022-09-10 04:50:34.562393,2022-09-10 06:40:40.777709,0 days 01:50:06.215316,0.24748716320827302,512,0.672701163498225,1000000,0.012290425063777826,0.19088102750921704,0.95,0.0003938800388425039,20000,constant,small,4,15000,16,COMPLETE
17,17,0.8688079649082885,2022-09-10 06:40:40.802800,2022-09-10 08:29:21.469555,0 days 01:48:40.666755,0.2012007372912793,512,0.5268915236746732,1000000,0.0027218062188241136,0.2198920711358266,0.95,0.00045013205274262375,20000,constant,small,4,15000,16,COMPLETE
18,18,0.8547214724746478,2022-09-10 08:29:21.491596,2022-09-10 10:38:38.099017,0 days 02:09:16.607421,0.16240877067970344,512,0.5662538556572927,1000000,0.14551202387118575,0.22688076032870683,0.95,0.0009357938063229951,20000,linear,small,2,15000,16,COMPLETE
19,19,0.8643835233189244,2022-09-10 10:38:38.125800,2022-09-10 12:25:29.729597,0 days 01:46:51.603797,0.13512668091872845,512,0.39235870564572484,1000000,0.15950080413363554,0.234557782935181,0.95,0.0011974781266529668,20000,linear,small,2,15000,16,COMPLETE
