,number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_beta,params_buffer_size,params_exploration_final_eps,params_exploration_fraction,params_gamma,params_learning_rate,params_learning_starts,params_lr_schedule,params_net_arch,params_subsample_steps,params_target_update_interval,params_train_freq,state
0,0,0.4075677709527065,2022-08-19 15:07:05.381751,2022-08-19 15:15:20.222541,0 days 00:08:14.840790,0.3965952421876776,16,0.4525476693934266,50000,0.17555489471849847,0.14027609214735504,0.9,0.00029492751189774105,1000,constant,small,2,1000,4,COMPLETE
1,1,0.0,2022-08-19 15:15:20.264545,2022-08-19 15:19:54.168507,0 days 00:04:33.903962,0.5666555337897481,16,0.41256296435480266,10000,0.06440219793202111,0.014670438403371178,0.9,0.019236149799321953,1000,constant,medium,4,1000,8,PRUNED
2,2,0.0,2022-08-19 15:19:54.182872,2022-08-19 15:24:39.024389,0 days 00:04:44.841517,0.8833030244388639,512,0.10095947201875133,10000,0.037265480770348414,0.20000191689051333,0.99,0.013788089292975148,1000,linear,small,2,1,1000,PRUNED
3,3,0.38252437929520866,2022-08-19 15:24:39.036826,2022-08-19 15:34:09.741720,0 days 00:09:30.704894,0.36042303660887265,32,0.6443255146195924,100000,0.10255509666543679,0.09021305826336057,0.9,0.005278431170695114,1000,linear,medium,4,20000,128,PRUNED
4,4,0.3386220877880424,2022-08-19 15:34:09.753148,2022-08-19 15:42:35.322970,0 days 00:08:25.569822,0.5518860946172103,256,0.7096169021620637,10000,0.17304459013570872,0.2175941487100313,0.999,0.00012779004952497103,0,constant,small,8,20000,4,PRUNED
5,5,0.0,2022-08-19 15:42:35.335636,2022-08-19 15:49:15.591710,0 days 00:06:40.256074,0.34981327666401263,64,0.4174793069285653,50000,0.12159194835688153,0.26017364785808145,0.95,2.07247969865814e-05,10000,linear,medium,4,10000,1,PRUNED
6,6,0.0,2022-08-19 15:49:15.606136,2022-08-19 15:53:40.826107,0 days 00:04:25.219971,0.42209521220983603,32,0.5675705561462394,1000000,0.003735219596391937,0.32731716536962063,0.995,0.0020574765241665677,5000,constant,large,8,1000,256,PRUNED
7,7,0.0,2022-08-19 15:53:40.841702,2022-08-19 15:58:46.493039,0 days 00:05:05.651337,0.6521477355691664,512,0.3356745238179841,100000,0.1880788848719545,0.4640548413017933,0.999,0.7021619320422114,5000,linear,medium,4,10000,1000,PRUNED
8,8,0.3783632311955668,2022-08-19 15:58:46.505349,2022-08-19 16:08:39.428202,0 days 00:09:52.922853,0.6736395591288149,32,0.13019479795952316,100000,0.13079236605903719,0.47186137554924096,0.9999,0.004799146506527652,0,linear,large,2,10000,4,PRUNED
9,9,0.3111936910973141,2022-08-19 16:08:39.442862,2022-08-19 16:16:36.800974,0 days 00:07:57.358112,0.17875560783415334,32,0.3038719251857186,1000000,0.0008735703291968156,0.44910415991175373,0.98,0.0002089526249153584,5000,constant,large,8,20000,1000,PRUNED
10,10,0.0,2022-08-19 16:16:36.813666,2022-08-19 16:19:58.667187,0 days 00:03:21.853521,0.011333344494229458,16,0.9353113216413749,50000,0.15205897193930815,0.11790417252262805,0.9,0.27256066501469783,20000,constant,small,1,15000,16,PRUNED
11,11,0.4856484474750271,2022-08-19 16:19:58.682600,2022-08-19 16:31:54.460053,0 days 00:11:55.777453,0.24372551543490528,128,0.6865467187813479,50000,0.08856372507921936,0.06986221730260134,0.9,0.000689598434008449,1000,linear,medium,2,5000,128,COMPLETE
12,12,0.43473754240879303,2022-08-19 16:31:54.490856,2022-08-19 16:41:19.494630,0 days 00:09:25.003774,0.18175716234820255,128,0.8189795557247808,50000,0.07427126143498707,0.0023729662419867126,0.9,0.000567851362365882,1000,linear,small,2,5000,128,PRUNED
13,13,0.008248299319727892,2022-08-19 16:41:19.505914,2022-08-19 16:46:16.763205,0 days 00:04:57.257291,0.19659758199983018,100,0.7773819952160266,50000,0.08472902409793565,0.11778126935110239,0.9,1.275559645872923e-05,1000,constant,medium,2,5000,128,PRUNED
14,14,0.4631655924608646,2022-08-19 16:46:16.774476,2022-08-19 16:56:25.620679,0 days 00:10:08.846203,0.014464363124710833,128,0.5792057660087714,50000,0.14699707171654464,0.06373971560229214,0.99,0.0005576853434379463,20000,linear,small,2,5000,4,COMPLETE
15,15,0.3934376044650568,2022-08-19 16:56:25.649627,2022-08-19 17:06:42.008377,0 days 00:10:16.358750,0.0010545345024126785,128,0.966481403776869,50000,0.14042675551723585,0.06414368784345545,0.99,0.0011123803355664276,20000,linear,medium,1,5000,8,PRUNED
16,16,0.0,2022-08-19 17:06:42.019632,2022-08-19 17:11:52.355504,0 days 00:05:10.335872,0.11403587782349034,128,0.5679141563378272,50000,0.10588695002631383,0.37086483856940466,0.99,6.218184417689266e-05,20000,linear,small,2,5000,16,PRUNED
17,17,0.047469566040994615,2022-08-19 17:11:52.370780,2022-08-19 17:17:48.138150,0 days 00:05:55.767370,0.22952082930838844,128,0.8635294484067921,50000,0.053513537934515173,0.1795620024866727,0.95,4.891542545374683e-05,10000,linear,small,2,5000,1,PRUNED
18,18,0.0,2022-08-19 17:17:48.151190,2022-08-19 17:23:51.223996,0 days 00:06:03.072806,0.08319936129744565,128,0.6727587274716846,1000000,0.15723521753498376,0.03810335704092356,0.9999,0.04668515914175056,20000,linear,medium,2,15000,256,PRUNED
19,19,0.349279855649023,2022-08-19 17:23:51.235592,2022-08-19 17:33:11.857087,0 days 00:09:20.621495,0.2999211509068685,256,0.5463717280950003,50000,0.1169756228459154,0.26799324368524546,0.98,0.0011136374197903592,20000,linear,large,1,1,4,PRUNED
20,20,0.3016296830210613,2022-08-19 17:33:11.865940,2022-08-19 17:42:21.508587,0 days 00:09:09.642647,0.9077129271085201,100,0.7439485962505175,50000,0.03353929035688083,0.16671151296811226,0.995,0.0005333778716497011,10000,linear,small,2,5000,128,PRUNED
21,21,0.0799647787042745,2022-08-19 17:42:21.525700,2022-08-19 17:48:15.751731,0 days 00:05:54.226031,0.42416841141208433,16,0.4859414381072473,50000,0.19364173299197013,0.1289218067304934,0.99,0.0003246494863555937,1000,constant,small,2,1000,4,PRUNED
22,22,0.40048481325103114,2022-08-19 17:48:15.763619,2022-08-19 17:56:24.514445,0 days 00:08:08.750826,0.2667793986828484,64,0.22561826382632877,50000,0.16973198551101307,0.06778532292614536,0.9,0.00010942214558068962,1000,constant,small,2,1000,4,PRUNED
23,23,0.49883431650551363,2022-08-19 17:56:24.526693,2022-08-19 18:06:45.859332,0 days 00:10:21.332639,0.45928983744115026,16,0.4476723837261271,50000,0.0882573025271995,0.1439136795327492,0.9,0.00170711102700573,1000,constant,small,2,5000,4,COMPLETE
24,24,0.4709716408513522,2022-08-19 18:06:45.892872,2022-08-19 18:18:31.789965,0 days 00:11:45.897093,0.1165287088111879,128,0.640745538236549,50000,0.08496161798428518,0.08361298384820579,0.99,0.002951748879148391,0,linear,small,2,5000,4,PRUNED
25,25,0.40948812554370734,2022-08-19 18:18:31.804812,2022-08-19 18:28:28.236120,0 days 00:09:56.431308,0.7750573869984644,128,0.007525819610556761,50000,0.09192326529885882,0.03830386007355402,0.9,0.013097539292304469,20000,linear,medium,2,5000,128,PRUNED
26,26,0.2922942066656069,2022-08-19 18:28:28.249454,2022-08-19 18:37:21.308811,0 days 00:08:53.059357,0.49914393250944794,16,0.597516987583628,10000,0.053068133204504014,0.15601718266519798,0.995,0.0009155734161339424,1000,constant,small,2,5000,4,PRUNED
27,27,0.0,2022-08-19 18:37:21.322129,2022-08-19 18:43:24.592676,0 days 00:06:03.270547,0.2869191344252657,128,0.3436038331308754,100000,0.1397795179003246,0.2197948256218026,0.9999,0.0656787231571015,1000,linear,large,1,5000,16,PRUNED
28,28,0.31227375042852057,2022-08-19 18:43:24.610550,2022-08-19 18:49:51.088874,0 days 00:06:26.478324,0.08747760344516957,64,0.505565290955092,1000000,0.1052839434318932,0.10326178999873467,0.95,0.0018887485113569622,20000,constant,small,8,5000,8,PRUNED
29,29,0.45491265172029094,2022-08-19 18:49:51.097428,2022-08-19 18:59:50.326079,0 days 00:09:59.228651,0.45889535488184047,16,0.43805646209856297,50000,0.11956738353123905,0.05031335280056059,0.9,0.00025936212512758485,1000,constant,medium,2,15000,4,PRUNED
30,30,0.0,2022-08-21 20:09:54.076389,2022-08-21 20:15:14.061703,0 days 00:05:19.985314,0.32410404169907703,512,0.8871735618781424,50000,0.07191908611411865,0.13377259828620808,0.999,0.007616643748406867,5000,linear,small,2,1,1,PRUNED
31,31,0.3834359258621206,2022-08-21 20:15:14.336020,2022-08-21 20:21:36.077145,0 days 00:06:21.741125,0.5777385377637758,16,0.49988594220327165,50000,0.1733853885507056,0.01521524500019801,0.9,0.0005390015268892818,1000,constant,small,2,1000,4,PRUNED
32,32,0.008526077097505668,2022-08-21 20:21:36.202029,2022-08-21 20:26:11.393845,0 days 00:04:35.191816,0.3894271899675982,16,0.37904644431716533,10000,0.15480022670830745,0.1469905083001303,0.9,4.538974709634172e-05,1000,constant,small,2,1000,4,PRUNED
33,33,0.005555555555555556,2022-08-21 20:26:11.492108,2022-08-21 20:30:49.199616,0 days 00:04:37.707508,0.5434251892231738,16,0.4466722428659663,50000,0.18316333152508424,0.09550168462718248,0.9,0.00022415036451028827,1000,constant,small,4,1000,4,PRUNED
34,34,0.417677347304929,2022-08-21 20:30:49.275839,2022-08-21 20:38:25.067375,0 days 00:07:35.791536,0.6382399634960829,256,0.29181932125085147,10000,0.05933144090679497,0.1859806879443946,0.99,0.00011285220401977644,1000,constant,small,2,1,128,PRUNED
35,35,0.3511686684980413,2022-08-21 20:38:25.341630,2022-08-21 20:45:41.715595,0 days 00:07:16.373965,0.49293570968952205,16,0.6974603333744596,50000,0.03863390642974748,0.21899633300778693,0.9,0.0014429306288338028,1000,constant,medium,2,20000,256,PRUNED
36,36,0.4620607825563182,2022-08-21 20:45:41.886679,2022-08-21 20:53:19.280775,0 days 00:07:37.394096,0.3660880813182617,100,0.6192009782152031,50000,0.09795445626582361,0.29484802318754816,0.98,0.003361432455050284,0,linear,small,4,5000,8,PRUNED
37,37,0.3469244829922772,2022-08-21 20:53:19.356688,2022-08-21 20:59:12.985901,0 days 00:05:53.629213,0.7872185161055295,512,0.22511580794053337,100000,0.1308113736951173,0.08016903702347379,0.9,0.009521251331819424,10000,constant,medium,8,10000,1000,PRUNED
38,38,0.0,2022-08-21 20:59:13.030179,2022-08-21 21:05:57.983518,0 days 00:06:44.953339,0.23925411350066048,128,0.5218584129789504,50000,0.17105158475333204,0.020488887730875892,0.999,0.020344326484970632,1000,linear,small,2,1000,4,PRUNED
39,39,0.38266418680211783,2022-08-21 21:05:58.176121,2022-08-21 21:13:07.098637,0 days 00:07:08.922516,0.4199593664323549,16,0.37918991344702163,1000000,0.1120833814164311,0.2015878718881077,0.99,0.0004383450180957517,1000,constant,large,4,20000,128,PRUNED
